         247145 function calls in 13.410 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      124    0.000    0.000    0.006    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:133(load_image)
      124    0.000    0.000    0.005    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:61(smart_convert)
      200    0.005    0.000    0.005    0.000 {built-in method io.open}
        2    0.001    0.000    0.005    0.003 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:57(load_scene)
      148    0.000    0.000    0.005    0.000 <frozen posixpath>:397(abspath)
        1    0.003    0.003    0.005    0.005 /Users/bridgerhall/Documents/senior project/tanks/players.py:9(__init__)
      128    0.001    0.000    0.005    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:297(move)
      772    0.000    0.000    0.005    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
      356    0.001    0.000    0.004    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:419(_set_properties)
      260    0.000    0.000    0.004    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:410(findall)
      124    0.004    0.000    0.004    0.000 {built-in method pygame.mask.from_surface}
        2    0.000    0.000    0.004    0.002 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:1817(load_scene)
      128    0.003    0.000    0.004    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:310(check_collisions)
      148    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
        4    0.000    0.000    0.003    0.001 /Users/bridgerhall/Documents/senior project/tanks/game_ui.py:23(load_game_2_ui)
      564    0.001    0.000    0.003    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:207(select)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1165(_find_and_load)
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      381    0.003    0.000    0.003    0.000 {built-in method pygame.mixer_music.set_volume}
      137    0.001    0.000    0.002    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:239(rotation)
      356    0.002    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:390(_cast_and_set_attributes_from_node_items)
      408    0.002    0.000    0.002    0.000 {method 'iter' of 'xml.etree.ElementTree.Element' objects}
    13036    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x105833ca8}
      407    0.001    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:209(_qsize)
      592    0.001    0.000    0.002    0.000 <frozen posixpath>:71(join)
      274    0.002    0.000    0.002    0.000 {built-in method pygame.transform.rotate}
      444    0.001    0.000    0.002    0.000 <frozen posixpath>:150(dirname)
      137    0.001    0.000    0.002    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:245(get_input)
      156    0.000    0.000    0.002    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1401(_set_properties)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:666(_load_unlocked)
      151    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       16    0.000    0.000    0.001    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:221(run_mode_select)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
       52    0.000    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:558(_set_properties)
      381    0.001    0.000    0.001    0.000 {built-in method pygame.mixer.unpause}
      137    0.001    0.000    0.001    0.000 {built-in method pygame.key.get_pressed}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.BufferedReader' objects}
      381    0.001    0.000    0.001    0.000 {built-in method pygame.time.get_ticks}
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1016    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     9026    0.001    0.000    0.001    0.000 {method 'colliderect' of 'pygame.rect.Rect' objects}
      156    0.000    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:137(reshape_data)
      148    0.000    0.000    0.001    0.000 <frozen genericpath>:16(exists)
      260    0.001    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:360(iterfind)
       80    0.001    0.000    0.001    0.000 {method 'convert' of 'pygame.surface.Surface' objects}
     2232    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1184    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
      156    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
       24    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      139    0.001    0.000    0.001    0.000 /Users/bridgerhall/Documents/senior project/tanks/scene_manager.py:93(run_main)
        1    0.001    0.001    0.001    0.001 {built-in method pygame.mixer_music.load}
      156    0.001    0.000    0.001    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:151(<listcomp>)
     2474    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      200    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedReader' objects}
       13    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:154(get)
       80    0.000    0.000    0.000    0.000 {built-in method pygame.transform.flip}
      156    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:920(add_layer)
      356    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:332(parse_properties)
      410    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     4583    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {built-in method pygame.transform.scale2x}
      148    0.000    0.000    0.000    0.000 <frozen posixpath>:389(normpath)
      148    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1037(objects)
      156    0.000    0.000    0.000    0.000 {method 'set_alpha' of 'pygame.surface.Surface' objects}
      124    0.000    0.000    0.000    0.000 {method 'subsurface' of 'pygame.surface.Surface' objects}
     1252    0.000    0.000    0.000    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
      741    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      148    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:939(add_tileset)
      292    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1056(<genexpr>)
     1483    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      356    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:374(__init__)
        7    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:50(active)
      323    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1376(__iter__)
      446    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      356    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:395(_contains_invalid_property_name)
       73    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1047(visible_layers)
        7    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:85(check_collisions)
      593    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      356    0.000    0.000    0.000    0.000 {method 'items' of 'xml.etree.ElementTree.Element' objects}
      153    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
      458    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      520    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:179(select)
      608    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
      148    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      403    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      148    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1141(map_gid)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:945(start)
      156    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:1035(<genexpr>)
       13    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:366(notify)
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/pytmx.py:694(<genexpr>)
        7    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:193(render)
      260    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:352(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      200    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementTree.py:536(__init__)
       20    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementPath.py:74(xpath_tokenizer)
      408    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/queue.py:217(_get)
      124    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/site-packages/pytmx/util_pygame.py:39(handle_transformation)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:611(wait)
      137    0.000    0.000    0.000    0.000 {built-in method math.radians}
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      359    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       17    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      137    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/players.py:325(shoot)
      136    0.000    0.000    0.000    0.000 {built-in method math.cos}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:295(wait)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/threading.py:856(__init__)
      200    0.000    0.000    0.000    0.000 /Users/bridgerhall/.pyenv/versions/3.11.7/lib/python3.11/xml/etree/ElementTree.py:542(getroot)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       52    0.000    0.000    0.000    0.000 /Users/bridgerhall/Documents/senior project/tanks/maps.py:6(__init__)
      155    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
